target,model,seed,test_block,cycle,cycle_run,true_event_cycle,event_detected_on_positive_window,normal_cycle_false_alarm,window_count,predicted_positive_window_count
System_Failure,1d_cnn,43,3,71,71,0,,0.0,9,0
System_Failure,1d_cnn,43,3,72,72,0,,0.0,15,0
System_Failure,1d_cnn,43,3,73,73,0,,1.0,16,1
System_Failure,1d_cnn,43,3,75,74,0,,0.0,15,0
System_Failure,1d_cnn,44,3,51,51,0,,0.0,15,0
System_Failure,1d_cnn,44,3,52,52,0,,0.0,15,0
System_Failure,1d_cnn,44,3,53,53,1,1.0,,43,29
System_Failure,1d_cnn,44,3,54,54,0,,0.0,15,0
System_Failure,1d_cnn,44,3,55,55,0,,0.0,15,0
System_Failure,1d_cnn,44,3,56,56,0,,0.0,15,0
System_Failure,1d_cnn,44,3,57,57,0,,0.0,32,0
System_Failure,1d_cnn,44,3,58,58,0,,1.0,15,2
System_Failure,1d_cnn,44,3,59,59,0,,0.0,15,0
System_Failure,1d_cnn,44,3,60,60,0,,0.0,16,0
System_Failure,1d_cnn,44,3,61,61,0,,0.0,13,0
System_Failure,1d_cnn,44,3,62,62,0,,0.0,16,0
System_Failure,1d_cnn,44,3,63,63,1,1.0,,31,15
System_Failure,1d_cnn,44,3,64,64,1,1.0,,16,6
System_Failure,1d_cnn,44,3,65,65,1,1.0,,13,1
System_Failure,1d_cnn,44,3,66,66,0,,0.0,17,0
System_Failure,1d_cnn,44,3,67,67,1,1.0,,15,6
System_Failure,1d_cnn,44,3,68,68,0,,0.0,15,0
System_Failure,1d_cnn,44,3,69,69,1,1.0,,24,14
System_Failure,1d_cnn,44,3,70,70,0,,0.0,15,0
System_Failure,1d_cnn,44,3,71,71,0,,0.0,9,0
System_Failure,1d_cnn,44,3,72,72,0,,0.0,15,0
System_Failure,1d_cnn,44,3,73,73,0,,1.0,16,3
System_Failure,1d_cnn,44,3,75,74,0,,0.0,15,0
System_Failure,1d_cnn,42,4,76,75,1,1.0,,15,6
System_Failure,1d_cnn,42,4,85,84,0,,1.0,20,5
System_Failure,1d_cnn,42,4,86,85,1,1.0,,20,14
System_Failure,1d_cnn,42,4,87,86,1,1.0,,20,6
System_Failure,1d_cnn,42,4,88,87,0,,0.0,15,0
System_Failure,1d_cnn,42,4,89,88,0,,1.0,15,3
System_Failure,1d_cnn,42,4,90,89,0,,0.0,15,0
System_Failure,1d_cnn,42,4,91,90,1,1.0,,15,11
System_Failure,1d_cnn,42,4,92,91,1,1.0,,15,10
System_Failure,1d_cnn,42,4,93,92,0,,0.0,15,0
System_Failure,1d_cnn,42,4,94,93,0,,0.0,15,0
System_Failure,1d_cnn,42,4,95,94,1,1.0,,15,9
System_Failure,1d_cnn,42,4,96,95,1,1.0,,7,5
System_Failure,1d_cnn,42,4,97,96,1,1.0,,15,9
System_Failure,1d_cnn,42,4,98,97,0,,1.0,15,1
System_Failure,1d_cnn,42,4,99,98,1,1.0,,92,47
System_Failure,1d_cnn,42,4,100,99,0,,0.0,15,0
System_Failure,1d_cnn,43,4,76,75,1,1.0,,15,5
System_Failure,1d_cnn,43,4,85,84,0,,1.0,20,6
System_Failure,1d_cnn,43,4,86,85,1,1.0,,20,10
System_Failure,1d_cnn,43,4,87,86,1,1.0,,20,5
System_Failure,1d_cnn,43,4,88,87,0,,0.0,15,0
System_Failure,1d_cnn,43,4,89,88,0,,0.0,15,0
System_Failure,1d_cnn,43,4,90,89,0,,0.0,15,0
System_Failure,1d_cnn,43,4,91,90,1,1.0,,15,7
System_Failure,1d_cnn,43,4,92,91,1,1.0,,15,9
System_Failure,1d_cnn,43,4,93,92,0,,0.0,15,0
System_Failure,1d_cnn,43,4,94,93,0,,0.0,15,0
System_Failure,1d_cnn,43,4,95,94,1,1.0,,15,9
System_Failure,1d_cnn,43,4,96,95,1,1.0,,7,5
System_Failure,1d_cnn,43,4,97,96,1,1.0,,15,9
System_Failure,1d_cnn,43,4,98,97,0,,1.0,15,1
System_Failure,1d_cnn,43,4,99,98,1,1.0,,92,47
System_Failure,1d_cnn,43,4,100,99,0,,0.0,15,0
System_Failure,1d_cnn,44,4,76,75,1,1.0,,15,6
System_Failure,1d_cnn,44,4,85,84,0,,1.0,20,5
System_Failure,1d_cnn,44,4,86,85,1,1.0,,20,10
System_Failure,1d_cnn,44,4,87,86,1,1.0,,20,5
System_Failure,1d_cnn,44,4,88,87,0,,0.0,15,0
System_Failure,1d_cnn,44,4,89,88,0,,1.0,15,4
System_Failure,1d_cnn,44,4,90,89,0,,0.0,15,0
System_Failure,1d_cnn,44,4,91,90,1,1.0,,15,9
System_Failure,1d_cnn,44,4,92,91,1,1.0,,15,10
System_Failure,1d_cnn,44,4,93,92,0,,0.0,15,0
System_Failure,1d_cnn,44,4,94,93,0,,0.0,15,0
System_Failure,1d_cnn,44,4,95,94,1,1.0,,15,6
System_Failure,1d_cnn,44,4,96,95,1,1.0,,7,5
System_Failure,1d_cnn,44,4,97,96,1,1.0,,15,6
System_Failure,1d_cnn,44,4,98,97,0,,0.0,15,0
System_Failure,1d_cnn,44,4,99,98,1,1.0,,92,47
System_Failure,1d_cnn,44,4,100,99,0,,0.0,15,0
System_Failure,1d_cnn,42,5,101,100,0,,0.0,15,0
System_Failure,1d_cnn,42,5,102,101,0,,0.0,15,0
System_Failure,1d_cnn,42,5,103,102,1,1.0,,54,42
System_Failure,1d_cnn,42,5,104,103,0,,0.0,2,0
System_Failure,1d_cnn,42,5,105,104,1,1.0,,14,5
System_Failure,1d_cnn,42,5,106,105,0,,0.0,15,0
System_Failure,1d_cnn,42,5,107,106,0,,0.0,15,0
System_Failure,1d_cnn,42,5,108,107,1,1.0,,47,20
System_Failure,1d_cnn,42,5,109,108,0,,0.0,15,0
System_Failure,1d_cnn,42,5,110,109,0,,0.0,4,0
System_Failure,1d_cnn,42,5,111,110,0,,0.0,16,0
System_Failure,1d_cnn,42,5,112,111,0,,0.0,15,0
System_Failure,1d_cnn,42,5,113,112,0,,0.0,15,0
System_Failure,1d_cnn,42,5,114,113,0,,0.0,16,0
System_Failure,1d_cnn,42,5,115,114,1,1.0,,43,9
System_Failure,1d_cnn,42,5,116,115,0,,0.0,15,0
System_Failure,1d_cnn,42,5,117,116,1,1.0,,19,5
System_Failure,1d_cnn,42,5,118,117,1,1.0,,30,8
System_Failure,1d_cnn,42,5,119,118,0,,0.0,16,0
System_Failure,1d_cnn,42,5,120,119,0,,0.0,15,0
System_Failure,1d_cnn,42,5,121,120,0,,0.0,16,0
System_Failure,1d_cnn,42,5,122,121,0,,0.0,15,0
System_Failure,1d_cnn,42,5,123,122,0,,0.0,14,0
System_Failure,1d_cnn,42,5,124,123,0,,0.0,16,0
System_Failure,1d_cnn,42,5,125,124,0,,0.0,13,0
System_Failure,1d_cnn,43,5,101,100,0,,0.0,15,0
System_Failure,1d_cnn,43,5,102,101,0,,0.0,15,0
System_Failure,1d_cnn,43,5,103,102,1,1.0,,54,47
System_Failure,1d_cnn,43,5,104,103,0,,0.0,2,0
System_Failure,1d_cnn,43,5,105,104,1,1.0,,14,5
System_Failure,1d_cnn,43,5,106,105,0,,0.0,15,0
System_Failure,1d_cnn,43,5,107,106,0,,0.0,15,0
System_Failure,1d_cnn,43,5,108,107,1,1.0,,47,17
System_Failure,1d_cnn,43,5,109,108,0,,0.0,15,0
System_Failure,1d_cnn,43,5,110,109,0,,0.0,4,0
System_Failure,1d_cnn,43,5,111,110,0,,0.0,16,0
System_Failure,1d_cnn,43,5,112,111,0,,0.0,15,0
System_Failure,1d_cnn,43,5,113,112,0,,0.0,15,0
System_Failure,1d_cnn,43,5,114,113,0,,0.0,16,0
System_Failure,1d_cnn,43,5,115,114,1,1.0,,43,10
System_Failure,1d_cnn,43,5,116,115,0,,0.0,15,0
System_Failure,1d_cnn,43,5,117,116,1,1.0,,19,5
System_Failure,1d_cnn,43,5,118,117,1,1.0,,30,9
System_Failure,1d_cnn,43,5,119,118,0,,0.0,16,0
System_Failure,1d_cnn,43,5,120,119,0,,0.0,15,0
System_Failure,1d_cnn,43,5,121,120,0,,0.0,16,0
System_Failure,1d_cnn,43,5,122,121,0,,0.0,15,0
System_Failure,1d_cnn,43,5,123,122,0,,0.0,14,0
System_Failure,1d_cnn,43,5,124,123,0,,0.0,16,0
System_Failure,1d_cnn,43,5,125,124,0,,0.0,13,0
System_Failure,1d_cnn,44,5,101,100,0,,0.0,15,0
System_Failure,1d_cnn,44,5,102,101,0,,0.0,15,0
System_Failure,1d_cnn,44,5,103,102,1,1.0,,54,50
System_Failure,1d_cnn,44,5,104,103,0,,0.0,2,0
System_Failure,1d_cnn,44,5,105,104,1,1.0,,14,6
System_Failure,1d_cnn,44,5,106,105,0,,0.0,15,0
System_Failure,1d_cnn,44,5,107,106,0,,0.0,15,0
System_Failure,1d_cnn,44,5,108,107,1,1.0,,47,20
System_Failure,1d_cnn,44,5,109,108,0,,0.0,15,0
System_Failure,1d_cnn,44,5,110,109,0,,1.0,4,1
System_Failure,1d_cnn,44,5,111,110,0,,1.0,16,1
System_Failure,1d_cnn,44,5,112,111,0,,0.0,15,0
System_Failure,1d_cnn,44,5,113,112,0,,1.0,15,2
System_Failure,1d_cnn,44,5,114,113,0,,0.0,16,0
System_Failure,1d_cnn,44,5,115,114,1,1.0,,43,11
System_Failure,1d_cnn,44,5,116,115,0,,0.0,15,0
System_Failure,1d_cnn,44,5,117,116,1,1.0,,19,5
System_Failure,1d_cnn,44,5,118,117,1,1.0,,30,9
System_Failure,1d_cnn,44,5,119,118,0,,0.0,16,0
System_Failure,1d_cnn,44,5,120,119,0,,0.0,15,0
System_Failure,1d_cnn,44,5,121,120,0,,0.0,16,0
System_Failure,1d_cnn,44,5,122,121,0,,0.0,15,0
System_Failure,1d_cnn,44,5,123,122,0,,0.0,14,0
System_Failure,1d_cnn,44,5,124,123,0,,0.0,16,0
System_Failure,1d_cnn,44,5,125,124,0,,0.0,13,0
System_Failure,1d_cnn,42,7,151,129,0,,0.0,15,0
System_Failure,1d_cnn,42,7,152,130,1,1.0,,21,7
System_Failure,1d_cnn,42,7,153,131,0,,0.0,15,0
System_Failure,1d_cnn,42,7,154,132,0,,0.0,16,0
System_Failure,1d_cnn,42,7,155,133,0,,0.0,15,0
System_Failure,1d_cnn,42,7,156,134,0,,0.0,15,0
System_Failure,1d_cnn,42,7,157,135,0,,0.0,16,0
System_Failure,1d_cnn,42,7,159,137,1,1.0,,23,9
System_Failure,1d_cnn,42,7,160,138,1,1.0,,16,7
System_Failure,1d_cnn,42,7,161,139,0,,0.0,15,0
System_Failure,1d_cnn,42,7,162,140,0,,0.0,15,0
System_Failure,1d_cnn,42,7,163,141,1,1.0,,44,12
System_Failure,1d_cnn,42,7,164,142,1,1.0,,21,11
System_Failure,1d_cnn,42,7,165,143,0,,0.0,15,0
System_Failure,1d_cnn,42,7,166,144,0,,0.0,15,0
System_Failure,1d_cnn,42,7,167,145,0,,1.0,15,1
System_Failure,1d_cnn,42,7,168,146,0,,0.0,16,0
System_Failure,1d_cnn,42,7,169,147,0,,0.0,15,0
System_Failure,1d_cnn,42,7,170,148,1,1.0,,47,9
System_Failure,1d_cnn,42,7,171,149,0,,0.0,15,0
System_Failure,1d_cnn,42,7,172,150,0,,0.0,15,0
System_Failure,1d_cnn,42,7,173,151,1,1.0,,21,9
System_Failure,1d_cnn,42,7,174,152,1,1.0,,19,7
System_Failure,1d_cnn,42,7,175,153,1,1.0,,35,8
System_Failure,1d_cnn,43,7,151,129,0,,0.0,15,0
System_Failure,1d_cnn,43,7,152,130,1,1.0,,21,7
System_Failure,1d_cnn,43,7,153,131,0,,0.0,15,0
System_Failure,1d_cnn,43,7,154,132,0,,0.0,16,0
System_Failure,1d_cnn,43,7,155,133,0,,0.0,15,0
System_Failure,1d_cnn,43,7,156,134,0,,0.0,15,0
System_Failure,1d_cnn,43,7,157,135,0,,0.0,16,0
System_Failure,1d_cnn,43,7,159,137,1,1.0,,23,9
System_Failure,1d_cnn,43,7,160,138,1,1.0,,16,9
System_Failure,1d_cnn,43,7,161,139,0,,0.0,15,0
System_Failure,1d_cnn,43,7,162,140,0,,0.0,15,0
System_Failure,1d_cnn,43,7,163,141,1,1.0,,44,16
System_Failure,1d_cnn,43,7,164,142,1,1.0,,21,12
System_Failure,1d_cnn,43,7,165,143,0,,0.0,15,0
System_Failure,1d_cnn,43,7,166,144,0,,0.0,15,0
System_Failure,1d_cnn,43,7,167,145,0,,1.0,15,1
System_Failure,1d_cnn,43,7,168,146,0,,0.0,16,0
System_Failure,1d_cnn,43,7,169,147,0,,0.0,15,0
System_Failure,1d_cnn,43,7,170,148,1,1.0,,47,10
System_Failure,1d_cnn,43,7,171,149,0,,0.0,15,0
System_Failure,1d_cnn,43,7,172,150,0,,0.0,15,0
System_Failure,1d_cnn,43,7,173,151,1,1.0,,21,13
System_Failure,1d_cnn,43,7,174,152,1,1.0,,19,12
System_Failure,1d_cnn,43,7,175,153,1,1.0,,35,10
System_Failure,1d_cnn,44,7,151,129,0,,0.0,15,0
System_Failure,1d_cnn,44,7,152,130,1,1.0,,21,7
System_Failure,1d_cnn,44,7,153,131,0,,0.0,15,0
System_Failure,1d_cnn,44,7,154,132,0,,0.0,16,0
System_Failure,1d_cnn,44,7,155,133,0,,0.0,15,0
System_Failure,1d_cnn,44,7,156,134,0,,0.0,15,0
System_Failure,1d_cnn,44,7,157,135,0,,0.0,16,0
System_Failure,1d_cnn,44,7,159,137,1,1.0,,23,9
System_Failure,1d_cnn,44,7,160,138,1,1.0,,16,7
System_Failure,1d_cnn,44,7,161,139,0,,0.0,15,0
System_Failure,1d_cnn,44,7,162,140,0,,0.0,15,0
System_Failure,1d_cnn,44,7,163,141,1,1.0,,44,13
System_Failure,1d_cnn,44,7,164,142,1,1.0,,21,11
System_Failure,1d_cnn,44,7,165,143,0,,0.0,15,0
System_Failure,1d_cnn,44,7,166,144,0,,0.0,15,0
System_Failure,1d_cnn,44,7,167,145,0,,1.0,15,1
System_Failure,1d_cnn,44,7,168,146,0,,0.0,16,0
System_Failure,1d_cnn,44,7,169,147,0,,0.0,15,0
System_Failure,1d_cnn,44,7,170,148,1,1.0,,47,9
System_Failure,1d_cnn,44,7,171,149,0,,0.0,15,0
System_Failure,1d_cnn,44,7,172,150,0,,0.0,15,0
System_Failure,1d_cnn,44,7,173,151,1,1.0,,21,6
System_Failure,1d_cnn,44,7,174,152,1,1.0,,19,6
System_Failure,1d_cnn,44,7,175,153,1,1.0,,35,8
System_Failure,1d_cnn,42,8,176,154,0,,0.0,15,0
System_Failure,1d_cnn,42,8,177,155,0,,0.0,15,0
System_Failure,1d_cnn,42,8,178,156,0,,0.0,16,0
System_Failure,1d_cnn,42,8,179,157,0,,0.0,15,0
System_Failure,1d_cnn,42,8,180,158,1,0.0,,15,0
System_Failure,1d_cnn,42,8,181,159,0,,0.0,14,0
System_Failure,1d_cnn,42,8,182,160,1,1.0,,18,5
System_Failure,1d_cnn,42,8,183,161,1,1.0,,38,7
System_Failure,1d_cnn,42,8,184,162,0,,0.0,15,0
System_Failure,1d_cnn,42,8,185,163,1,1.0,,6,6
System_Failure,1d_cnn,42,8,199,176,0,,0.0,7,0
System_Failure,1d_cnn,42,8,200,177,1,1.0,,15,1
System_Failure,1d_cnn,43,8,176,154,0,,0.0,15,0
System_Failure,1d_cnn,43,8,177,155,0,,0.0,15,0
System_Failure,1d_cnn,43,8,178,156,0,,0.0,16,0
System_Failure,1d_cnn,43,8,179,157,0,,0.0,15,0
System_Failure,1d_cnn,43,8,180,158,1,1.0,,15,3
System_Failure,1d_cnn,43,8,181,159,0,,0.0,14,0
System_Failure,1d_cnn,43,8,182,160,1,1.0,,18,4
System_Failure,1d_cnn,43,8,183,161,1,1.0,,38,18
System_Failure,1d_cnn,43,8,184,162,0,,0.0,15,0
System_Failure,1d_cnn,43,8,185,163,1,1.0,,6,6
