cycle,rows,system_failure_count,protective_stop_count,grip_lost_count,first_timestamp,last_timestamp,system_failure_rate
60,25,0,0,0,2022-10-26T08:45:22.707Z,2022-10-26T08:45:46.831Z,0.0
61,22,0,0,0,2022-10-26T08:45:47.835Z,2022-10-26T08:46:08.906Z,0.0
62,25,0,0,0,2022-10-26T08:46:09.910Z,2022-10-26T08:46:34.066Z,0.0
63,40,9,5,4,2022-10-26T08:46:35.070Z,2022-10-26T08:47:15.267Z,0.225
64,25,6,0,6,2022-10-26T08:47:16.268Z,2022-10-26T08:47:40.392Z,0.24
65,22,6,0,6,2022-10-26T08:47:41.398Z,2022-10-26T08:48:03.506Z,0.2727
66,26,0,0,0,2022-10-26T08:48:04.509Z,2022-10-26T08:48:29.621Z,0.0
67,24,2,0,2,2022-10-26T08:48:30.631Z,2022-10-26T08:48:53.762Z,0.0833
68,24,0,0,0,2022-10-26T08:48:54.766Z,2022-10-26T08:49:17.917Z,0.0
69,33,7,6,1,2022-10-26T08:49:18.924Z,2022-10-26T08:49:52.106Z,0.2121
70,24,0,0,0,2022-10-26T08:49:53.111Z,2022-10-26T08:50:16.254Z,0.0
71,24,0,0,0,2022-10-26T08:50:17.257Z,2022-10-26T08:50:41.367Z,0.0
72,24,0,0,0,2022-10-26T08:50:42.374Z,2022-10-26T08:51:05.478Z,0.0
73,25,0,0,0,2022-10-26T08:51:06.486Z,2022-10-26T08:51:30.602Z,0.0
75,24,0,0,0,2022-10-26T08:51:31.605Z,2022-10-26T08:51:55.721Z,0.0
76,24,1,0,1,2022-10-26T08:51:56.731Z,2022-10-26T08:52:19.844Z,0.0417
77,24,0,0,0,2022-10-26T08:52:20.857Z,"""2022-10-26T08:52:43.977Z""",0.0
78,24,0,0,0,"""2022-10-26T08:52:44.981Z""","""2022-10-26T08:53:08.112Z""",0.0
79,42,3,3,0,"""2022-10-26T08:53:09.117Z""","""2022-10-26T08:53:50.302Z""",0.0714
80,24,7,0,7,"""2022-10-26T08:53:51.313Z""","""2022-10-26T08:54:14.458Z""",0.2917
81,24,6,0,6,"""2022-10-26T08:54:15.461Z""","""2022-10-26T08:54:39.596Z""",0.25
82,24,0,0,0,"""2022-10-26T08:54:40.600Z""","""2022-10-26T08:55:03.711Z""",0.0
83,24,0,0,0,"""2022-10-26T08:55:04.713Z""","""2022-10-26T08:55:27.808Z""",0.0
84,25,0,0,0,"""2022-10-26T08:55:28.814Z""","""2022-10-26T08:55:52.949Z""",0.0
85,41,2,2,0,"""2022-10-26T08:55:53.951Z""",2022-10-26T08:56:34.162Z,0.0488
86,30,6,4,2,2022-10-26T08:56:35.168Z,2022-10-26T08:57:04.340Z,0.2
87,29,2,2,0,2022-10-26T08:57:05.344Z,2022-10-26T08:57:33.500Z,0.069
88,24,0,0,0,2022-10-26T08:57:34.514Z,2022-10-26T08:57:57.649Z,0.0
89,25,0,0,0,2022-10-26T08:57:58.652Z,2022-10-26T08:58:22.798Z,0.0
90,24,0,0,0,2022-10-26T08:58:23.812Z,2022-10-26T08:58:46.964Z,0.0
91,24,1,0,1,2022-10-26T08:58:47.978Z,2022-10-26T08:59:11.119Z,0.0417
92,24,1,0,1,2022-10-26T08:59:12.124Z,2022-10-26T08:59:36.246Z,0.0417
93,24,0,0,0,2022-10-26T08:59:37.248Z,2022-10-26T09:00:00.360Z,0.0
94,24,0,0,0,2022-10-26T09:00:01.362Z,2022-10-26T09:00:24.478Z,0.0
95,24,6,0,6,2022-10-26T09:00:25.482Z,2022-10-26T09:00:48.607Z,0.25
96,24,1,0,1,2022-10-26T09:00:49.614Z,2022-10-26T09:01:12.719Z,0.0417
97,24,1,0,1,2022-10-26T09:01:13.719Z,2022-10-26T09:01:36.858Z,0.0417
98,24,0,0,0,2022-10-26T09:01:37.864Z,2022-10-26T09:02:01.981Z,0.0
99,102,15,15,0,2022-10-26T09:02:02.984Z,2022-10-26T09:03:44.466Z,0.1471
100,24,0,0,0,2022-10-26T09:03:45.473Z,2022-10-26T09:04:08.578Z,0.0
101,24,0,0,0,2022-10-26T09:04:10.588Z,2022-10-26T09:04:33.668Z,0.0
102,24,0,0,0,2022-10-26T09:04:34.669Z,2022-10-26T09:04:57.788Z,0.0
103,66,8,8,0,2022-10-26T09:04:58.799Z,2022-10-26T09:06:05.132Z,0.1212
104,11,0,0,0,2022-10-26T09:06:06.134Z,2022-10-26T09:06:16.186Z,0.0
105,23,5,0,5,2022-10-26T09:06:17.194Z,2022-10-26T14:20:12.434Z,0.2174
106,24,0,0,0,2022-10-26T14:20:13.438Z,2022-10-26T14:20:36.572Z,0.0
107,24,0,0,0,2022-10-26T14:20:37.576Z,2022-10-26T14:21:00.717Z,0.0
108,56,14,14,0,2022-10-26T14:21:01.725Z,2022-10-26T14:21:57.077Z,0.25
109,24,0,0,0,2022-10-26T14:21:58.083Z,2022-10-26T14:22:21.243Z,0.0
110,24,0,0,0,2022-10-26T14:22:22.250Z,2022-10-26T14:22:45.404Z,0.0
111,25,0,0,0,2022-10-26T14:22:46.411Z,2022-10-26T14:23:10.560Z,0.0
112,24,0,0,0,2022-10-26T14:23:11.565Z,2022-10-26T14:23:34.694Z,0.0
113,24,0,0,0,2022-10-26T14:23:35.701Z,2022-10-26T14:23:58.869Z,0.0
114,25,0,0,0,2022-10-26T14:23:59.877Z,2022-10-26T14:24:24.025Z,0.0
115,52,1,1,0,2022-10-26T14:24:25.030Z,2022-10-26T14:25:16.376Z,0.0192
116,24,0,0,0,2022-10-26T14:25:17.381Z,2022-10-26T14:25:40.533Z,0.0
117,28,1,1,0,2022-10-26T14:25:41.539Z,2022-10-26T14:26:08.717Z,0.0357
118,39,2,2,0,2022-10-26T14:26:09.725Z,2022-10-26T14:26:47.982Z,0.0513
119,25,0,0,0,2022-10-26T14:26:48.988Z,2022-10-26T14:27:13.149Z,0.0
120,24,0,0,0,2022-10-26T14:27:14.159Z,2022-10-26T14:27:37.293Z,0.0
121,25,0,0,0,2022-10-26T14:27:38.296Z,2022-10-26T14:28:02.435Z,0.0
122,24,0,0,0,2022-10-26T14:28:03.442Z,2022-10-26T14:28:26.582Z,0.0
123,24,0,0,0,2022-10-26T14:28:27.590Z,2022-10-26T14:28:50.702Z,0.0
124,25,0,0,0,2022-10-26T14:28:51.708Z,2022-10-26T14:29:15.842Z,0.0
125,24,0,0,0,2022-10-26T14:29:16.849Z,2022-10-26T14:29:39.962Z,0.0
126,24,0,0,0,2022-10-26T14:29:40.969Z,2022-10-26T14:30:04.104Z,0.0
127,25,0,0,0,2022-10-26T14:30:05.107Z,2022-10-26T14:30:29.248Z,0.0
128,28,3,3,0,2022-10-26T14:30:30.258Z,2022-10-26T14:30:57.408Z,0.1071
150,78,7,7,0,2022-10-26T14:30:58.418Z,2022-10-26T14:32:15.812Z,0.0897
151,24,0,0,0,2022-10-26T14:32:16.818Z,2022-10-26T14:32:39.942Z,0.0
152,30,4,4,0,2022-10-26T14:32:40.944Z,2022-10-26T14:33:10.111Z,0.1333
153,24,0,0,0,2022-10-26T14:33:11.114Z,2022-10-26T14:33:34.243Z,0.0
154,25,0,0,0,2022-10-26T14:33:35.251Z,2022-10-26T14:33:59.394Z,0.0
155,24,0,0,0,2022-10-26T14:34:00.399Z,2022-10-26T14:34:23.529Z,0.0
156,24,0,0,0,2022-10-26T14:34:24.534Z,2022-10-26T14:34:47.681Z,0.0
157,25,0,0,0,2022-10-26T14:34:48.691Z,2022-10-26T14:35:12.825Z,0.0
158,24,0,0,0,2022-10-26T14:35:13.834Z,"""2022-10-26T14:35:36.976Z""",0.0
159,32,7,7,0,2022-10-26T14:35:37.977Z,2022-10-26T14:36:09.161Z,0.2188
160,25,8,0,8,2022-10-26T14:36:10.164Z,2022-10-26T14:36:34.298Z,0.32
161,24,0,0,0,2022-10-26T14:36:35.302Z,2022-10-26T14:36:58.420Z,0.0
162,24,0,0,0,2022-10-26T14:36:59.423Z,2022-10-26T14:37:22.541Z,0.0
163,53,3,3,0,2022-10-26T14:37:23.549Z,2022-10-26T14:38:15.802Z,0.0566
164,31,3,2,1,2022-10-26T14:38:16.807Z,2022-10-26T14:38:46.958Z,0.0968
165,24,0,0,0,2022-10-26T14:38:47.965Z,2022-10-26T14:39:11.081Z,0.0
166,24,0,0,0,2022-10-26T14:39:12.088Z,2022-10-26T14:39:35.206Z,0.0
167,24,0,0,0,2022-10-26T14:39:36.211Z,2022-10-26T14:39:59.338Z,0.0
168,25,0,0,0,2022-10-26T14:40:00.343Z,2022-10-26T14:40:24.472Z,0.0
169,25,0,0,0,2022-10-26T14:40:25.476Z,2022-10-26T14:40:49.606Z,0.0
170,56,1,1,0,2022-10-26T14:40:50.611Z,2022-10-26T14:41:45.886Z,0.0179
171,24,0,0,0,2022-10-26T14:41:46.895Z,2022-10-26T14:42:10.060Z,0.0
172,24,0,0,0,2022-10-26T14:42:11.066Z,2022-10-26T14:42:34.219Z,0.0
173,30,8,4,4,2022-10-26T14:42:35.223Z,2022-10-26T14:43:04.418Z,0.2667
174,28,5,4,1,2022-10-26T14:43:05.428Z,2022-10-26T14:43:32.585Z,0.1786
175,45,3,3,0,2022-10-26T14:43:33.589Z,2022-10-26T14:44:17.816Z,0.0667
176,24,0,0,0,2022-10-26T14:44:18.823Z,2022-10-26T14:44:41.971Z,0.0
177,24,0,0,0,2022-10-26T14:44:42.977Z,2022-10-26T14:45:06.115Z,0.0
178,25,0,0,0,2022-10-26T14:45:07.121Z,2022-10-26T14:45:31.267Z,0.0
179,24,0,0,0,2022-10-26T14:45:32.271Z,2022-10-26T14:45:55.420Z,0.0
180,24,4,0,4,2022-10-26T14:45:56.429Z,2022-10-26T14:46:19.553Z,0.1667
181,24,0,0,0,2022-10-26T14:46:20.564Z,2022-10-26T14:46:43.674Z,0.0
182,27,2,2,0,2022-10-26T14:46:44.678Z,2022-10-26T14:47:11.814Z,0.0741
183,47,1,1,0,2022-10-26T14:47:12.840Z,2022-10-26T14:47:59.126Z,0.0213
184,24,0,0,0,2022-10-26T14:48:00.133Z,2022-10-26T14:48:23.269Z,0.0
185,53,7,2,5,2022-10-26T14:48:24.279Z,"""2022-10-26T14:49:17.625Z""",0.1321
186,24,0,0,0,"""2022-10-26T14:49:18.628Z""","""2022-10-26T14:49:41.759Z""",0.0
188,50,9,4,5,"""2022-10-26T14:49:42.765Z""","""2022-10-26T14:50:33.065Z""",0.18
189,24,0,0,0,"""2022-10-26T14:50:34.071Z""","""2022-10-26T14:50:57.218Z""",0.0
190,27,2,2,0,"""2022-10-26T14:50:58.225Z""","""2022-10-26T14:51:24.405Z""",0.0741
191,24,0,0,0,"""2022-10-26T14:51:25.412Z""","""2022-10-26T14:51:48.548Z""",0.0
192,29,4,3,1,"""2022-10-26T14:51:49.555Z""","""2022-10-26T14:52:17.721Z""",0.1379
193,29,2,1,1,"""2022-10-26T14:52:18.724Z""","""2022-10-26T14:52:46.890Z""",0.069
194,29,7,3,4,"""2022-10-26T14:52:47.899Z""","""2022-10-26T14:53:16.071Z""",0.2414
195,24,0,0,0,"""2022-10-26T14:53:17.074Z""","""2022-10-26T14:53:40.185Z""",0.0
196,28,4,3,1,"""2022-10-26T14:53:41.190Z""","""2022-10-26T14:54:08.353Z""",0.1429
197,25,0,0,0,"""2022-10-26T14:54:09.356Z""","""2022-10-26T14:54:33.504Z""",0.0
198,24,1,0,1,"""2022-10-26T14:54:34.507Z""","""2022-10-26T14:54:57.639Z""",0.0417
199,27,2,2,0,"""2022-10-26T14:54:58.643Z""",2022-10-26T14:55:24.789Z,0.0741
200,25,6,0,6,2022-10-26T14:55:25.799Z,2022-10-26T14:55:49.939Z,0.24
201,39,1,1,0,2022-10-26T14:55:50.942Z,2022-10-26T14:56:29.198Z,0.0256
202,24,4,0,4,2022-10-26T14:56:30.205Z,2022-10-26T14:56:53.341Z,0.1667
203,24,0,0,0,2022-10-26T14:56:54.344Z,2022-10-26T14:57:17.470Z,0.0
204,47,3,3,0,2022-10-26T14:57:18.478Z,2022-10-26T14:58:06.750Z,0.0638
205,25,0,0,0,2022-10-26T14:58:07.754Z,2022-10-26T14:58:31.898Z,0.0
206,27,1,1,0,2022-10-26T14:58:32.907Z,2022-10-26T14:58:59.054Z,0.037
207,24,0,0,0,2022-10-26T14:59:00.059Z,2022-10-26T14:59:23.200Z,0.0
208,24,6,0,6,2022-10-26T14:59:24.205Z,2022-10-26T14:59:48.342Z,0.25
209,24,0,0,0,2022-10-26T14:59:49.353Z,2022-10-26T15:00:12.528Z,0.0
210,58,4,4,0,2022-10-26T15:00:13.530Z,2022-10-26T15:01:10.880Z,0.069
211,25,0,0,0,2022-10-26T15:01:11.887Z,2022-10-26T15:01:36.014Z,0.0
212,28,2,2,0,2022-10-26T15:01:37.019Z,2022-10-26T15:02:04.158Z,0.0714
213,24,0,0,0,2022-10-26T15:02:05.165Z,2022-10-26T15:02:28.287Z,0.0
214,49,4,3,1,2022-10-26T15:02:29.292Z,2022-10-26T15:03:17.521Z,0.0816
215,41,2,2,0,2022-10-26T15:03:18.527Z,2022-10-26T15:03:58.722Z,0.0488
216,25,7,0,7,2022-10-26T15:03:59.726Z,2022-10-26T15:04:23.858Z,0.28
217,27,1,1,0,2022-10-26T15:04:24.865Z,2022-10-26T15:04:52.004Z,0.037
218,27,3,3,0,2022-10-26T15:04:53.010Z,2022-10-26T15:05:19.152Z,0.1111
219,33,12,6,6,2022-10-26T15:05:20.159Z,2022-10-26T15:05:52.346Z,0.3636
220,41,2,2,0,2022-10-26T15:05:53.347Z,2022-10-26T15:06:33.556Z,0.0488
221,29,13,3,13,2022-10-26T15:06:34.562Z,2022-10-26T15:07:02.712Z,0.4483
222,27,1,1,0,2022-10-26T15:07:03.715Z,2022-10-26T15:07:29.862Z,0.037
223,29,3,3,0,2022-10-26T15:07:30.868Z,2022-10-26T15:07:59.021Z,0.1034
224,57,4,4,0,2022-10-26T15:08:00.027Z,"""2022-10-26T15:13:30.977Z""",0.0702
225,56,5,5,0,2022-10-26T15:08:28.172Z,"""2022-10-26T15:13:58.104Z""",0.0893
226,57,4,4,0,2022-10-26T15:08:57.366Z,"""2022-10-26T15:14:27.277Z""",0.0702
227,55,4,4,0,2022-10-26T15:09:25.539Z,"""2022-10-26T15:14:55.447Z""",0.0727
228,28,2,2,0,"""2022-10-26T15:14:56.450Z""","""2022-10-26T15:15:24.615Z""",0.0714
229,86,9,9,0,2022-10-26T15:09:52.714Z,2022-10-26T15:15:58.782Z,0.1047
230,57,4,4,0,2022-10-26T15:10:45.020Z,2022-10-26T15:16:27.946Z,0.0702
231,71,4,4,0,2022-10-26T15:11:13.169Z,2022-10-26T15:16:55.086Z,0.0563
232,55,10,4,6,2022-10-26T15:11:57.412Z,2022-10-26T15:17:25.257Z,0.1818
233,64,6,4,2,2022-10-26T15:12:22.577Z,2022-10-26T15:17:49.381Z,0.0938
234,62,5,2,3,2022-10-26T15:17:50.392Z,2022-10-26T15:18:51.666Z,0.0806
235,27,2,2,0,2022-10-26T15:18:52.666Z,2022-10-26T15:19:18.807Z,0.0741
236,25,0,0,0,2022-10-26T15:19:19.814Z,2022-10-26T15:19:43.935Z,0.0
237,53,8,4,4,2022-10-26T15:19:44.943Z,2022-10-26T15:20:37.198Z,0.1509
238,24,0,0,0,2022-10-26T15:20:38.204Z,2022-10-26T15:21:01.350Z,0.0
239,44,3,3,0,2022-10-26T15:21:02.355Z,2022-10-26T15:21:45.576Z,0.0682
240,47,1,1,0,2022-10-26T15:21:46.583Z,2022-10-26T15:22:32.852Z,0.0213
241,24,0,0,0,2022-10-26T15:22:33.857Z,2022-10-26T15:22:56.979Z,0.0
242,53,2,2,0,2022-10-26T15:22:57.984Z,2022-10-26T15:23:50.274Z,0.0377
243,26,0,0,0,2022-10-26T15:23:51.277Z,2022-10-26T15:24:16.449Z,0.0
245,24,0,0,0,2022-10-26T15:24:17.451Z,2022-10-26T15:24:40.575Z,0.0
246,50,3,3,0,2022-10-26T15:24:41.577Z,2022-10-26T15:25:30.906Z,0.06
247,56,3,2,1,2022-10-26T15:25:31.907Z,2022-10-26T15:26:27.257Z,0.0536
248,24,0,0,0,2022-10-26T15:26:28.259Z,2022-10-26T15:26:51.392Z,0.0
249,46,2,2,0,2022-10-26T15:26:52.398Z,2022-10-26T15:27:37.681Z,0.0435
250,43,5,4,1,2022-10-26T15:27:38.683Z,2022-10-26T15:28:20.937Z,0.1163
251,24,2,0,2,2022-10-26T15:28:21.939Z,2022-10-26T15:28:45.067Z,0.0833
252,25,0,0,0,2022-10-26T15:28:46.075Z,2022-10-26T15:29:10.203Z,0.0
253,54,10,6,4,2022-10-26T15:29:11.210Z,2022-10-26T15:30:04.519Z,0.1852
254,24,0,0,0,2022-10-26T15:30:05.520Z,2022-10-26T15:30:28.661Z,0.0
255,53,2,2,0,2022-10-26T15:30:29.664Z,2022-10-26T15:31:21.951Z,0.0377
256,45,3,3,0,2022-10-26T15:31:22.958Z,2022-10-26T15:32:07.185Z,0.0667
257,33,3,3,0,2022-10-26T15:32:08.188Z,2022-10-26T15:32:40.390Z,0.0909
258,30,0,0,0,2022-10-26T15:32:41.394Z,2022-10-26T15:33:10.560Z,0.0
259,24,0,0,0,2022-10-26T15:33:11.566Z,2022-10-26T15:33:34.692Z,0.0
260,28,1,1,0,2022-10-26T15:33:35.696Z,2022-10-26T15:34:02.860Z,0.0357
261,29,1,1,0,2022-10-26T15:34:03.868Z,2022-10-26T15:34:32.006Z,0.0345
262,24,6,0,6,2022-10-26T15:34:33.012Z,2022-10-26T15:34:56.172Z,0.25
263,25,0,0,0,2022-10-26T15:34:57.176Z,2022-10-26T15:35:21.311Z,0.0
264,45,4,4,0,2022-10-26T15:35:22.316Z,2022-10-26T15:36:06.580Z,0.0889
