cycle_run,cycle,cycle_occurrence,scenario_block_25,source_rows,first_failure_position,healthy_prefix_rows,fault_in_run,included
136,158,1,7,24,24,24,False,True
137,159,1,7,32,3,3,True,False
138,160,1,7,25,4,4,True,False
139,161,1,7,24,24,24,False,True
140,162,1,7,24,24,24,False,True
141,163,1,7,53,5,5,True,True
142,164,1,7,31,5,5,True,True
143,165,1,7,24,24,24,False,True
144,166,1,7,24,24,24,False,True
145,167,1,7,24,24,24,False,True
146,168,1,7,25,25,25,False,True
147,169,1,7,25,25,24,False,True
148,170,1,7,56,5,5,True,True
149,171,1,7,24,24,24,False,True
150,172,1,7,24,24,24,False,True
151,173,1,7,30,4,4,True,False
152,174,1,7,28,4,4,True,False
153,175,1,7,45,3,3,True,False
154,176,1,8,24,24,24,False,True
155,177,1,8,24,24,24,False,True
156,178,1,8,25,25,25,False,True
157,179,1,8,24,24,24,False,True
158,180,1,8,24,18,18,True,True
159,181,1,8,24,24,23,False,True
160,182,1,8,27,3,3,True,False
161,183,1,8,47,5,5,True,True
162,184,1,8,24,24,24,False,True
163,185,1,8,53,5,5,True,True
164,186,1,8,24,24,24,False,True
165,188,1,8,50,5,5,True,True
166,189,1,8,24,24,23,False,True
167,190,1,8,27,3,3,True,False
168,191,1,8,24,24,24,False,True
169,192,1,8,29,5,5,True,True
170,193,1,8,29,5,4,True,False
171,194,1,8,29,4,4,True,False
172,195,1,8,24,24,24,False,True
173,196,1,8,28,4,4,True,False
174,197,1,8,25,25,24,False,True
175,198,1,8,24,19,19,True,True
176,199,1,8,27,3,3,True,False
177,200,1,8,25,3,3,True,False
178,201,1,9,39,20,20,True,True
179,202,1,9,24,18,18,True,True
180,203,1,9,24,24,24,False,True
181,204,1,9,47,4,4,True,False
182,205,1,9,25,25,25,False,True
183,206,1,9,27,3,3,True,False
184,207,1,9,24,24,24,False,True
185,208,1,9,24,4,3,True,False
186,209,1,9,24,24,24,False,True
187,210,1,9,58,5,5,True,True
188,211,1,9,25,25,24,False,True
189,212,1,9,28,3,3,True,False
190,213,1,9,24,24,24,False,True
191,214,1,9,49,5,5,True,True
192,215,1,9,41,21,20,True,True
193,216,1,9,25,4,4,True,False
194,217,1,9,27,3,3,True,False
195,218,1,9,27,2,2,True,False
196,219,1,9,33,3,3,True,False
197,220,1,9,41,20,20,True,True
198,221,1,9,29,1,0,True,False
199,222,1,9,27,3,3,True,False
200,223,1,9,29,3,3,True,False
201,224,1,9,28,3,3,True,False
202,225,1,9,29,3,3,True,False
203,226,1,10,28,3,3,True,False
204,227,1,10,27,3,3,True,False
205,229,1,10,52,4,3,True,False
206,230,1,10,28,3,3,True,False
207,231,1,10,44,3,3,True,False
208,232,1,10,25,25,24,False,True
209,233,1,10,40,18,18,True,True
210,224,2,9,29,5,4,True,False
211,225,2,9,27,3,3,True,False
212,226,2,10,29,3,3,True,False
213,227,2,10,28,3,3,True,False
214,228,1,10,28,3,3,True,False
215,229,2,10,34,3,3,True,False
216,230,2,10,29,4,4,True,False
217,231,2,10,27,3,3,True,False
218,232,2,10,30,3,3,True,False
219,233,2,10,24,18,18,True,True
220,234,1,10,62,4,4,True,False
221,235,1,10,27,3,3,True,False
222,236,1,10,25,25,24,False,True
223,237,1,10,53,5,5,True,True
224,238,1,10,24,24,24,False,True
225,239,1,10,44,4,4,True,False
226,240,1,10,47,5,5,True,True
227,241,1,10,24,24,24,False,True
228,242,1,10,53,4,4,True,False
229,243,1,10,26,26,25,False,True
230,245,1,10,24,24,24,False,True
231,246,1,10,50,3,3,True,False
232,247,1,10,56,4,4,True,False
233,248,1,10,24,24,24,False,True
234,249,1,10,46,5,5,True,True
235,250,1,10,43,5,5,True,True
236,251,1,11,24,19,19,True,True
237,252,1,11,25,25,24,False,True
238,253,1,11,54,3,3,True,False
239,254,1,11,24,24,24,False,True
240,255,1,11,53,5,5,True,True
241,256,1,11,45,4,4,True,False
242,257,1,11,33,3,3,True,False
243,258,1,11,30,30,30,False,True
244,259,1,11,24,24,23,False,True
245,260,1,11,28,3,3,True,False
246,261,1,11,29,3,3,True,False
247,262,1,11,24,3,3,True,False
248,263,1,11,25,25,25,False,True
249,264,1,11,45,4,3,True,False
