target,model,test_block,cycle,cycle_run,cycle_occurrence,true_event_cycle,seed_count,seeds_with_cycle_alert,seeds_detecting_event,consensus_required,consensus_false_alarm,consensus_event_detected,consensus_event_miss,window_count,consensus_positive_window_count,mean_window_score,max_window_score
System_Failure,rf_window_features,2,27,27,1,0,1,0,0,1,0,0,0,15,0,0.05755555555555551,0.1966666666666666
System_Failure,rf_window_features,2,28,28,1,0,1,0,0,1,0,0,0,16,0,0.14104166666666665,0.31
System_Failure,rf_window_features,2,29,29,1,0,1,0,0,1,0,0,0,15,0,0.03377777777777775,0.0966666666666666
System_Failure,rf_window_features,2,30,30,1,0,1,0,0,1,0,0,0,15,0,0.03399999999999998,0.0866666666666666
System_Failure,rf_window_features,2,31,31,1,0,1,0,0,1,0,0,0,14,0,0.15428571428571428,0.3333333333333333
System_Failure,rf_window_features,2,32,32,1,0,1,0,0,1,0,0,0,15,0,0.08799999999999998,0.1666666666666666
System_Failure,rf_window_features,2,33,33,1,0,1,0,0,1,0,0,0,16,0,0.1483333333333333,0.31
System_Failure,rf_window_features,2,34,34,1,0,1,0,0,1,0,0,0,15,0,0.11199999999999996,0.3333333333333333
System_Failure,rf_window_features,2,35,35,1,1,1,1,1,1,0,1,0,20,5,0.3043333333333333,0.8133333333333334
System_Failure,rf_window_features,2,36,36,1,1,1,1,1,1,0,1,0,24,14,0.5680555555555555,0.9066666666666666
System_Failure,rf_window_features,2,37,37,1,0,1,0,0,1,0,0,0,15,0,0.10955555555555553,0.2133333333333333
System_Failure,rf_window_features,2,38,38,1,0,1,0,0,1,0,0,0,15,0,0.06777777777777773,0.2433333333333333
System_Failure,rf_window_features,2,39,39,1,1,1,1,1,1,0,1,0,15,10,0.5331111111111111,0.7266666666666667
System_Failure,rf_window_features,2,40,40,1,1,1,1,1,1,0,1,0,20,6,0.47733333333333333,0.85
System_Failure,rf_window_features,2,41,41,1,0,1,0,0,1,0,0,0,15,0,0.06066666666666663,0.1566666666666666
System_Failure,rf_window_features,2,42,42,1,1,1,1,1,1,0,1,0,71,70,0.6627230046948357,0.7966666666666666
System_Failure,rf_window_features,2,43,43,1,0,1,0,0,1,0,0,0,15,0,0.096,0.1433333333333333
System_Failure,rf_window_features,2,44,44,1,0,1,0,0,1,0,0,0,15,0,0.08111111111111109,0.1866666666666666
System_Failure,rf_window_features,2,45,45,1,0,1,0,0,1,0,0,0,15,0,0.06799999999999998,0.3533333333333333
System_Failure,rf_window_features,2,48,48,1,0,1,0,0,1,0,0,0,15,0,0.05222222222222219,0.1933333333333333
System_Failure,rf_window_features,2,49,49,1,0,1,0,0,1,0,0,0,15,0,0.12088888888888885,0.2333333333333333
System_Failure,rf_window_features,2,50,50,1,0,1,0,0,1,0,0,0,15,0,0.0462222222222222,0.1333333333333333
System_Failure,rf_window_features,3,51,51,1,0,1,0,0,1,0,0,0,15,0,0.04799999999999995,0.0866666666666666
System_Failure,rf_window_features,3,52,52,1,0,1,0,0,1,0,0,0,15,0,0.16177777777777774,0.3333333333333333
System_Failure,rf_window_features,3,53,53,1,1,1,1,1,1,0,1,0,43,26,0.4687596899224806,0.7533333333333333
System_Failure,rf_window_features,3,54,54,1,0,1,0,0,1,0,0,0,15,0,0.05311111111111108,0.1433333333333333
System_Failure,rf_window_features,3,55,55,1,0,1,0,0,1,0,0,0,15,0,0.055333333333333304,0.1833333333333333
System_Failure,rf_window_features,3,56,56,1,0,1,0,0,1,0,0,0,15,0,0.047777777777777745,0.13
System_Failure,rf_window_features,3,57,57,1,0,1,1,0,1,1,0,0,32,3,0.18885416666666663,0.55
System_Failure,rf_window_features,3,58,58,1,0,1,0,0,1,0,0,0,15,0,0.08444444444444439,0.1333333333333333
System_Failure,rf_window_features,3,59,59,1,0,1,0,0,1,0,0,0,15,0,0.09688888888888886,0.2166666666666666
System_Failure,rf_window_features,3,60,60,1,0,1,0,0,1,0,0,0,16,0,0.08583333333333329,0.17
System_Failure,rf_window_features,3,61,61,1,0,1,0,0,1,0,0,0,13,0,0.08076923076923072,0.1533333333333333
System_Failure,rf_window_features,3,62,62,1,0,1,1,0,1,1,0,0,16,1,0.19854166666666664,0.7166666666666667
System_Failure,rf_window_features,3,63,63,1,1,1,1,1,1,0,1,0,31,19,0.5127956989247312,0.8666666666666667
System_Failure,rf_window_features,3,64,64,1,1,1,1,1,1,0,1,0,16,11,0.598125,0.8966666666666666
System_Failure,rf_window_features,3,65,65,1,1,1,1,1,1,0,1,0,13,4,0.37461538461538463,0.7166666666666667
System_Failure,rf_window_features,3,66,66,1,0,1,0,0,1,0,0,0,17,0,0.21352941176470586,0.43
System_Failure,rf_window_features,3,67,67,1,1,1,1,1,1,0,1,0,15,6,0.47333333333333333,0.9366666666666666
System_Failure,rf_window_features,3,68,68,1,0,1,0,0,1,0,0,0,15,0,0.17488888888888884,0.25
System_Failure,rf_window_features,3,69,69,1,1,1,1,1,1,0,1,0,24,17,0.607638888888889,0.9266666666666666
System_Failure,rf_window_features,3,70,70,1,0,1,0,0,1,0,0,0,15,0,0.07088888888888885,0.2233333333333333
System_Failure,rf_window_features,3,71,71,1,0,1,1,0,1,1,0,0,9,1,0.2437037037037037,0.5866666666666667
System_Failure,rf_window_features,3,72,72,1,0,1,0,0,1,0,0,0,15,0,0.1073333333333333,0.3266666666666666
System_Failure,rf_window_features,3,73,73,1,0,1,0,0,1,0,0,0,16,0,0.17812499999999998,0.32
System_Failure,rf_window_features,3,75,74,1,0,1,0,0,1,0,0,0,15,0,0.13377777777777772,0.3333333333333333
System_Failure,rf_window_features,4,76,75,1,1,1,1,1,1,0,1,0,15,3,0.2755555555555555,0.71
System_Failure,rf_window_features,4,85,84,1,0,1,1,0,1,1,0,0,20,6,0.33466666666666667,0.8466666666666667
System_Failure,rf_window_features,4,86,85,1,1,1,1,1,1,0,1,0,20,13,0.5666666666666667,0.9266666666666666
System_Failure,rf_window_features,4,87,86,1,1,1,1,1,1,0,1,0,20,6,0.2995,0.9633333333333334
System_Failure,rf_window_features,4,88,87,1,0,1,0,0,1,0,0,0,15,0,0.06955555555555552,0.1933333333333333
System_Failure,rf_window_features,4,89,88,1,0,1,0,0,1,0,0,0,15,0,0.09177777777777775,0.1766666666666666
System_Failure,rf_window_features,4,90,89,1,0,1,0,0,1,0,0,0,15,0,0.06822222222222218,0.1366666666666666
System_Failure,rf_window_features,4,91,90,1,1,1,1,1,1,0,1,0,15,7,0.46955555555555556,0.9033333333333332
System_Failure,rf_window_features,4,92,91,1,1,1,1,1,1,0,1,0,15,7,0.5115555555555555,0.8266666666666667
System_Failure,rf_window_features,4,93,92,1,0,1,0,0,1,0,0,0,15,0,0.0373333333333333,0.1166666666666666
System_Failure,rf_window_features,4,94,93,1,0,1,0,0,1,0,0,0,15,0,0.07199999999999998,0.17
System_Failure,rf_window_features,4,95,94,1,1,1,1,1,1,0,1,0,15,5,0.4915555555555555,0.9433333333333334
System_Failure,rf_window_features,4,96,95,1,1,1,1,1,1,0,1,0,7,4,0.6109523809523809,0.98
System_Failure,rf_window_features,4,97,96,1,1,1,1,1,1,0,1,0,15,5,0.4351111111111111,0.97
System_Failure,rf_window_features,4,98,97,1,0,1,0,0,1,0,0,0,15,0,0.04844444444444441,0.2333333333333333
System_Failure,rf_window_features,4,99,98,1,1,1,1,1,1,0,1,0,92,53,0.5019927536231884,0.8433333333333334
System_Failure,rf_window_features,4,100,99,1,0,1,0,0,1,0,0,0,15,0,0.1573333333333333,0.31
System_Failure,rf_window_features,5,101,100,1,0,1,0,0,1,0,0,0,15,0,0.14488888888888887,0.26
System_Failure,rf_window_features,5,102,101,1,0,1,0,0,1,0,0,0,15,0,0.16444444444444442,0.36
System_Failure,rf_window_features,5,103,102,1,1,1,1,1,1,0,1,0,54,32,0.5403086419753086,0.8033333333333333
System_Failure,rf_window_features,5,104,103,1,0,1,0,0,1,0,0,0,2,0,0.05999999999999995,0.0666666666666666
System_Failure,rf_window_features,5,105,104,1,1,1,1,1,1,0,1,0,14,6,0.4345238095238095,0.89
System_Failure,rf_window_features,5,106,105,1,0,1,0,0,1,0,0,0,15,0,0.07466666666666665,0.17
System_Failure,rf_window_features,5,107,106,1,0,1,0,0,1,0,0,0,15,0,0.0833333333333333,0.1433333333333333
System_Failure,rf_window_features,5,108,107,1,1,1,1,1,1,0,1,0,47,19,0.35914893617021276,0.9166666666666666
System_Failure,rf_window_features,5,109,108,1,0,1,0,0,1,0,0,0,15,0,0.1311111111111111,0.1933333333333333
System_Failure,rf_window_features,5,110,109,1,0,1,0,0,1,0,0,0,4,0,0.18916666666666665,0.36
System_Failure,rf_window_features,5,111,110,1,0,1,0,0,1,0,0,0,16,0,0.12312499999999998,0.33
System_Failure,rf_window_features,5,112,111,1,0,1,0,0,1,0,0,0,15,0,0.05266666666666662,0.16
System_Failure,rf_window_features,5,113,112,1,0,1,0,0,1,0,0,0,15,0,0.11311111111111108,0.2933333333333333
System_Failure,rf_window_features,5,114,113,1,0,1,0,0,1,0,0,0,16,0,0.130625,0.29
System_Failure,rf_window_features,5,115,114,1,1,1,1,1,1,0,1,0,43,10,0.38015503875968987,0.9266666666666666
System_Failure,rf_window_features,5,116,115,1,0,1,0,0,1,0,0,0,15,0,0.14511111111111108,0.2433333333333333
System_Failure,rf_window_features,5,117,116,1,1,1,1,1,1,0,1,0,19,5,0.2859649122807017,0.8933333333333333
System_Failure,rf_window_features,5,118,117,1,1,1,1,1,1,0,1,0,30,12,0.38299999999999995,0.9133333333333332
System_Failure,rf_window_features,5,119,118,1,0,1,0,0,1,0,0,0,16,0,0.15666666666666665,0.2933333333333333
System_Failure,rf_window_features,5,120,119,1,0,1,0,0,1,0,0,0,15,0,0.13111111111111107,0.3133333333333333
System_Failure,rf_window_features,5,121,120,1,0,1,0,0,1,0,0,0,16,0,0.0977083333333333,0.1833333333333333
System_Failure,rf_window_features,5,122,121,1,0,1,0,0,1,0,0,0,15,0,0.07666666666666662,0.1866666666666666
System_Failure,rf_window_features,5,123,122,1,0,1,1,0,1,1,0,0,14,1,0.30166666666666664,0.55
System_Failure,rf_window_features,5,124,123,1,0,1,0,0,1,0,0,0,16,0,0.10770833333333331,0.3
System_Failure,rf_window_features,5,125,124,1,0,1,0,0,1,0,0,0,13,0,0.08948717948717945,0.17
System_Failure,rf_window_features,7,151,129,1,0,1,0,0,1,0,0,0,15,0,0.05177777777777774,0.0866666666666666
System_Failure,rf_window_features,7,152,130,1,1,1,1,1,1,0,1,0,21,7,0.30857142857142855,0.9866666666666668
System_Failure,rf_window_features,7,153,131,1,0,1,0,0,1,0,0,0,15,0,0.07155555555555553,0.1766666666666666
System_Failure,rf_window_features,7,154,132,1,0,1,0,0,1,0,0,0,16,0,0.1720833333333333,0.3
System_Failure,rf_window_features,7,155,133,1,0,1,0,0,1,0,0,0,15,0,0.0933333333333333,0.2
System_Failure,rf_window_features,7,156,134,1,0,1,0,0,1,0,0,0,15,0,0.09555555555555555,0.2366666666666666
System_Failure,rf_window_features,7,157,135,1,0,1,0,0,1,0,0,0,16,0,0.12874999999999998,0.2666666666666666
System_Failure,rf_window_features,7,159,137,1,1,1,1,1,1,0,1,0,23,10,0.42623188405797097,0.9866666666666668
System_Failure,rf_window_features,7,160,138,1,1,1,1,1,1,0,1,0,16,5,0.34812499999999996,0.72
System_Failure,rf_window_features,7,161,139,1,0,1,0,0,1,0,0,0,15,0,0.07133333333333329,0.1233333333333333
System_Failure,rf_window_features,7,162,140,1,0,1,0,0,1,0,0,0,15,0,0.0824444444444444,0.13
System_Failure,rf_window_features,7,163,141,1,1,1,1,1,1,0,1,0,44,10,0.3120454545454545,0.9166666666666666
System_Failure,rf_window_features,7,164,142,1,1,1,1,1,1,0,1,0,21,11,0.5317460317460317,0.8666666666666667
System_Failure,rf_window_features,7,165,143,1,0,1,0,0,1,0,0,0,15,0,0.1144444444444444,0.25
System_Failure,rf_window_features,7,166,144,1,0,1,0,0,1,0,0,0,15,0,0.0822222222222222,0.1933333333333333
System_Failure,rf_window_features,7,167,145,1,0,1,0,0,1,0,0,0,15,0,0.13377777777777775,0.2466666666666666
System_Failure,rf_window_features,7,168,146,1,0,1,0,0,1,0,0,0,16,0,0.12562499999999996,0.2833333333333333
System_Failure,rf_window_features,7,169,147,1,0,1,0,0,1,0,0,0,15,0,0.07511111111111107,0.1566666666666666
System_Failure,rf_window_features,7,170,148,1,1,1,1,1,1,0,1,0,47,7,0.2626241134751773,0.8733333333333333
System_Failure,rf_window_features,7,171,149,1,0,1,0,0,1,0,0,0,15,0,0.1382222222222222,0.31
System_Failure,rf_window_features,7,172,150,1,0,1,0,0,1,0,0,0,15,0,0.07888888888888887,0.17
System_Failure,rf_window_features,7,173,151,1,1,1,1,1,1,0,1,0,21,13,0.4893650793650794,0.8366666666666667
System_Failure,rf_window_features,7,174,152,1,1,1,1,1,1,0,1,0,19,6,0.4194736842105263,0.7966666666666666
System_Failure,rf_window_features,7,175,153,1,1,1,1,1,1,0,1,0,35,10,0.34019047619047615,0.86
System_Failure,rf_window_features,8,176,154,1,0,1,0,0,1,0,0,0,15,0,0.12733333333333333,0.1766666666666666
System_Failure,rf_window_features,8,177,155,1,0,1,0,0,1,0,0,0,15,0,0.1502222222222222,0.2133333333333333
System_Failure,rf_window_features,8,178,156,1,0,1,0,0,1,0,0,0,16,0,0.2333333333333333,0.38
System_Failure,rf_window_features,8,179,157,1,0,1,0,0,1,0,0,0,15,0,0.26199999999999996,0.4466666666666666
System_Failure,rf_window_features,8,180,158,1,1,1,1,1,1,0,1,0,15,6,0.456,0.8466666666666667
System_Failure,rf_window_features,8,181,159,1,0,1,0,0,1,0,0,0,14,0,0.1528571428571428,0.2666666666666666
System_Failure,rf_window_features,8,182,160,1,1,1,1,1,1,0,1,0,18,5,0.3301851851851852,0.8733333333333333
System_Failure,rf_window_features,8,183,161,1,1,1,1,1,1,0,1,0,38,10,0.3606140350877193,0.92
System_Failure,rf_window_features,8,184,162,1,0,1,0,0,1,0,0,0,15,0,0.20066666666666663,0.3066666666666666
System_Failure,rf_window_features,8,185,163,1,1,1,1,1,1,0,1,0,6,6,0.8672222222222222,0.9733333333333334
System_Failure,rf_window_features,8,199,176,1,0,1,0,0,1,0,0,0,7,0,0.18190476190476187,0.25
System_Failure,rf_window_features,8,200,177,1,1,1,1,1,1,0,1,0,15,9,0.586,0.9066666666666666
System_Failure,rf_window_features,9,201,178,1,1,1,1,1,1,0,1,0,30,5,0.27388888888888885,0.75
System_Failure,rf_window_features,9,202,179,1,1,1,1,1,1,0,1,0,15,6,0.39466666666666667,0.84
System_Failure,rf_window_features,9,203,180,1,0,1,0,0,1,0,0,0,15,0,0.1213333333333333,0.2033333333333333
System_Failure,rf_window_features,9,204,181,1,1,1,1,1,1,0,1,0,38,9,0.33622807017543854,0.9366666666666666
System_Failure,rf_window_features,9,205,182,1,0,1,0,0,1,0,0,0,16,0,0.12479166666666663,0.3266666666666666
System_Failure,rf_window_features,9,206,183,1,1,1,1,1,1,0,1,0,18,4,0.2718518518518518,0.94
System_Failure,rf_window_features,9,207,184,1,0,1,0,0,1,0,0,0,15,0,0.09088888888888885,0.1733333333333333
System_Failure,rf_window_features,9,208,185,1,1,1,1,1,1,0,1,0,14,10,0.535952380952381,0.7633333333333333
System_Failure,rf_window_features,9,209,186,1,0,1,0,0,1,0,0,0,15,0,0.10422222222222219,0.2866666666666667
System_Failure,rf_window_features,9,210,187,1,1,1,1,1,1,0,1,0,49,12,0.3486394557823129,0.97
System_Failure,rf_window_features,9,211,188,1,0,1,0,0,1,0,0,0,15,0,0.058222222222222196,0.1733333333333333
System_Failure,rf_window_features,9,212,189,1,1,1,1,1,1,0,1,0,19,6,0.3584210526315789,0.9533333333333334
System_Failure,rf_window_features,9,213,190,1,0,1,0,0,1,0,0,0,15,0,0.11155555555555553,0.2966666666666667
System_Failure,rf_window_features,9,214,191,1,1,1,1,1,1,0,1,0,40,19,0.4961666666666667,0.9433333333333334
System_Failure,rf_window_features,9,215,192,1,1,1,1,1,1,0,1,0,31,4,0.2332258064516129,0.6333333333333333
System_Failure,rf_window_features,9,216,193,1,1,1,1,1,1,0,1,0,16,2,0.27166666666666667,0.6333333333333333
System_Failure,rf_window_features,9,217,194,1,1,1,1,1,1,0,1,0,17,4,0.3343137254901961,0.6233333333333333
System_Failure,rf_window_features,9,218,195,1,1,1,1,1,1,0,1,0,18,4,0.222037037037037,0.7966666666666666
System_Failure,rf_window_features,9,219,196,1,1,1,1,1,1,0,1,0,23,11,0.4434782608695652,0.86
System_Failure,rf_window_features,9,220,197,1,1,1,1,1,1,0,1,0,32,2,0.29635416666666664,0.6766666666666666
System_Failure,rf_window_features,9,221,198,1,1,1,1,1,1,0,1,0,19,2,0.2556140350877193,0.7933333333333333
System_Failure,rf_window_features,9,222,199,1,1,1,1,1,1,0,1,0,18,4,0.27555555555555555,0.95
System_Failure,rf_window_features,9,223,200,1,1,1,1,1,1,0,1,0,19,6,0.301578947368421,0.9566666666666668
System_Failure,rf_window_features,9,224,201,1,1,1,1,1,1,0,1,0,19,6,0.28789473684210526,0.8833333333333333
System_Failure,rf_window_features,9,225,202,1,1,1,1,1,1,0,1,0,19,5,0.28561403508771926,0.8366666666666667
System_Failure,rf_window_features,9,224,210,2,1,1,1,1,1,0,1,0,16,6,0.3939583333333333,0.9066666666666666
System_Failure,rf_window_features,10,226,203,1,1,1,1,1,1,0,1,0,19,6,0.42192982456140343,0.83
System_Failure,rf_window_features,10,227,204,1,1,1,1,1,1,0,1,0,18,1,0.32185185185185183,0.54
System_Failure,rf_window_features,10,229,205,1,1,1,1,1,1,0,1,0,42,11,0.3846825396825397,0.96
System_Failure,rf_window_features,10,230,206,1,1,1,1,1,1,0,1,0,18,5,0.379074074074074,0.8233333333333334
System_Failure,rf_window_features,10,231,207,1,1,1,1,1,1,0,1,0,35,13,0.43038095238095236,0.9133333333333332
System_Failure,rf_window_features,10,232,208,1,0,1,0,0,1,0,0,0,15,0,0.22911111111111107,0.3133333333333333
System_Failure,rf_window_features,10,233,209,1,1,1,1,1,1,0,1,0,31,12,0.43591397849462366,0.72
System_Failure,rf_window_features,10,230,216,2,1,1,1,1,1,0,1,0,20,6,0.33799999999999997,0.7166666666666667
System_Failure,rf_window_features,10,231,217,2,1,1,1,1,1,0,1,0,18,4,0.38425925925925924,0.9133333333333332
System_Failure,rf_window_features,10,232,218,2,1,1,1,1,1,0,1,0,20,10,0.49516666666666664,0.85
System_Failure,rf_window_features,10,233,219,2,1,1,1,1,1,0,1,0,15,5,0.4033333333333333,0.8
System_Failure,rf_window_features,10,234,220,1,1,1,1,1,1,0,1,0,52,10,0.3403846153846154,0.8366666666666667
System_Failure,rf_window_features,10,235,221,1,1,1,1,1,1,0,1,0,18,4,0.3768518518518518,0.92
System_Failure,rf_window_features,10,236,222,1,0,1,0,0,1,0,0,0,15,0,0.2473333333333333,0.3133333333333333
System_Failure,rf_window_features,10,237,223,1,1,1,1,1,1,0,1,0,43,18,0.4010077519379845,0.9133333333333332
System_Failure,rf_window_features,10,238,224,1,0,1,0,0,1,0,0,0,15,0,0.2313333333333333,0.3533333333333333
System_Failure,rf_window_features,10,239,225,1,1,1,1,1,1,0,1,0,34,12,0.46284313725490195,0.91
System_Failure,rf_window_features,10,240,226,1,1,1,1,1,1,0,1,0,37,7,0.3120720720720721,0.87
System_Failure,rf_window_features,10,241,227,1,0,1,0,0,1,0,0,0,15,0,0.28244444444444444,0.3833333333333333
System_Failure,rf_window_features,10,242,228,1,1,1,1,1,1,0,1,0,43,7,0.27201550387596896,0.8333333333333334
System_Failure,rf_window_features,10,243,229,1,0,1,0,0,1,0,0,0,16,0,0.24999999999999997,0.4066666666666667
System_Failure,rf_window_features,10,245,230,1,0,1,0,0,1,0,0,0,15,0,0.18799999999999997,0.3433333333333333
System_Failure,rf_window_features,10,246,231,1,1,1,1,1,1,0,1,0,40,19,0.4651666666666666,0.9066666666666666
System_Failure,rf_window_features,10,247,232,1,1,1,1,1,1,0,1,0,46,9,0.3547826086956522,0.9333333333333332
System_Failure,rf_window_features,10,248,233,1,0,1,0,0,1,0,0,0,15,0,0.21777777777777776,0.31
System_Failure,rf_window_features,10,249,234,1,1,1,1,1,1,0,1,0,37,13,0.3896396396396396,0.79
System_Failure,rf_window_features,10,250,235,1,1,1,1,1,1,0,1,0,33,13,0.4482828282828283,0.8033333333333333
ProtectiveStop,rf_window_features,1,1,1,1,1,1,0,0,1,0,0,1,30,0,0.16966666666666663,0.4466666666666666
ProtectiveStop,rf_window_features,1,2,2,1,0,1,0,0,1,0,0,0,37,0,0.15612612612612609,0.45
ProtectiveStop,rf_window_features,1,3,3,1,0,1,0,0,1,0,0,0,17,0,0.0545098039215686,0.4466666666666666
ProtectiveStop,rf_window_features,1,4,4,1,0,1,0,0,1,0,0,0,15,0,0.02222222222222218,0.06
ProtectiveStop,rf_window_features,1,5,5,1,0,1,0,0,1,0,0,0,18,0,0.03537037037037034,0.4266666666666667
ProtectiveStop,rf_window_features,1,6,6,1,0,1,0,0,1,0,0,0,22,0,0.15878787878787876,0.43
ProtectiveStop,rf_window_features,1,8,8,1,0,1,0,0,1,0,0,0,15,0,0.022444444444444416,0.0766666666666666
ProtectiveStop,rf_window_features,1,9,9,1,0,1,0,0,1,0,0,0,15,0,0.013333333333333301,0.07
ProtectiveStop,rf_window_features,1,10,10,1,0,1,0,0,1,0,0,0,15,0,0.014444444444444393,0.0733333333333333
ProtectiveStop,rf_window_features,1,11,11,1,0,1,0,0,1,0,0,0,16,0,0.030833333333333292,0.1533333333333333
ProtectiveStop,rf_window_features,1,12,12,1,0,1,0,0,1,0,0,0,15,0,0.012222222222222193,0.0333333333333333
ProtectiveStop,rf_window_features,1,13,13,1,0,1,0,0,1,0,0,0,15,0,0.023333333333333307,0.07
ProtectiveStop,rf_window_features,1,14,14,1,0,1,0,0,1,0,0,0,19,0,0.050350877192982424,0.19
ProtectiveStop,rf_window_features,1,15,15,1,0,1,0,0,1,0,0,0,14,0,0.014285714285714258,0.0966666666666666
ProtectiveStop,rf_window_features,1,16,16,1,0,1,0,0,1,0,0,0,16,0,0.05291666666666665,0.46
ProtectiveStop,rf_window_features,1,17,17,1,0,1,0,0,1,0,0,0,15,0,0.04866666666666663,0.42
ProtectiveStop,rf_window_features,1,18,18,1,0,1,0,0,1,0,0,0,16,0,0.04437499999999997,0.19
ProtectiveStop,rf_window_features,1,19,19,1,0,1,0,0,1,0,0,0,15,0,0.04355555555555552,0.18
ProtectiveStop,rf_window_features,1,20,20,1,0,1,0,0,1,0,0,0,15,0,0.008666666666666639,0.0433333333333333
ProtectiveStop,rf_window_features,1,21,21,1,0,1,0,0,1,0,0,0,16,0,0.031874999999999966,0.1933333333333333
ProtectiveStop,rf_window_features,1,22,22,1,1,1,1,1,1,0,1,0,27,12,0.3379012345679012,0.7366666666666667
ProtectiveStop,rf_window_features,1,23,23,1,0,1,0,0,1,0,0,0,15,0,0.012666666666666647,0.0433333333333333
ProtectiveStop,rf_window_features,1,24,24,1,0,1,0,0,1,0,0,0,15,0,0.05377777777777775,0.13
ProtectiveStop,rf_window_features,1,25,25,1,0,1,0,0,1,0,0,0,16,0,0.0227083333333333,0.0633333333333333
ProtectiveStop,rf_window_features,2,26,26,1,0,1,0,0,1,0,0,0,15,0,0.011777777777777753,0.06
ProtectiveStop,rf_window_features,2,27,27,1,0,1,0,0,1,0,0,0,15,0,0.01777777777777776,0.12
ProtectiveStop,rf_window_features,2,28,28,1,0,1,0,0,1,0,0,0,16,0,0.0433333333333333,0.2233333333333333
ProtectiveStop,rf_window_features,2,29,29,1,0,1,0,0,1,0,0,0,15,0,0.015111111111111079,0.0433333333333333
ProtectiveStop,rf_window_features,2,30,30,1,0,1,0,0,1,0,0,0,15,0,0.00888888888888888,0.0233333333333333
ProtectiveStop,rf_window_features,2,31,31,1,0,1,0,0,1,0,0,0,14,0,0.1276190476190476,0.2566666666666666
ProtectiveStop,rf_window_features,2,32,32,1,0,1,0,0,1,0,0,0,15,0,0.02977777777777774,0.0966666666666666
ProtectiveStop,rf_window_features,2,33,33,1,0,1,0,0,1,0,0,0,16,0,0.045416666666666626,0.1766666666666666
ProtectiveStop,rf_window_features,2,34,34,1,0,1,0,0,1,0,0,0,15,0,0.04422222222222218,0.2466666666666666
ProtectiveStop,rf_window_features,2,35,35,1,1,1,1,1,1,0,1,0,20,4,0.2348333333333333,0.7533333333333333
ProtectiveStop,rf_window_features,2,36,36,1,0,1,0,0,1,0,0,0,24,0,0.0858333333333333,0.3
ProtectiveStop,rf_window_features,2,37,37,1,0,1,0,0,1,0,0,0,15,0,0.03199999999999996,0.0966666666666666
